,episode_id,instruction,replanning_count_0,run_id,runtime,sim_step_count,task_percent_complete,task_state_success,unique_episode_id
992,934,"Put the candle holder, statue, and vase back on the table in the bedroom. I prefer to have the candle holder, statue, and vase arranged on the bedroom table for a calming atmosphere.",16.0,3,549.6128985881805,5678.0,1.0,1.0,934_3
1146,935,"Change the positions of the vase, candle, and bowl to a different table in the living room. I like to rearrange these items to keep the living room setting fresh and inviting.",15.0,4,290.8136482238769,3094.0,1.0,1.0,935_4
917,936,"Help me tidy up the living room table. Move the clock, book, and candle to the stand. I usually have the clock, book, and candle on the stand for as my usual setup.",14.0,2,336.90977001190186,3563.0,1.0,1.0,936_2
958,937,"Move the plant container from the bedroom table to the living room table. Take the stuffed toy from the kitchen cabinet and put it on a bedroom table. I like to have the plant container in the living room for better sunlight, and the stuffed toy should be on the bedroom table to add a cozy touch.",13.0,2,482.685919046402,5135.0,1.0,1.0,937_2
350,941,"Help me tidy up the living room. First, move the vase and stuffed toy from the table to the couch. Place them next to each other. I like to have the vase and stuffed toy together on the couch during cleaning for easy access later.",10.0,0,312.4306683540344,3206.0,1.0,1.0,941_0
343,942,Bring the book from the living room to the bedroom and place it on the chest of drawers. I prefer to keep the book on the chest of drawers in the bedroom for my bedtime reading routine.,8.0,0,289.3062906265259,2835.0,1.0,1.0,942_0
1145,943,Put the plate and bowl together in another cabinet in the kitchen and place them next to each other. I prefer to keep my plates and bowls next to each other in the cabinet for easy access when setting the table.,14.0,4,204.04849410057068,1761.0,1.0,1.0,943_4
219,944,"First, move the toy vehicle from the bedroom to the living room. Then, place it on the couch in the living room. I often keep the toy vehicle on the living room couch so it's easy to find when I want to play with it.",10.0,0,497.4263973236084,5004.0,1.0,1.0,944_0
75,945,Move the book and candle from the living room couch to the dining table. Place them next to each other on the table. I usually have my book and candle together on the dining table for a cozy reading time.,11.0,0,332.80466175079346,3395.0,1.0,1.0,945_0
1101,946,Move the jug and cup from the kitchen counter to the dining table. Place them next to each other on the table. I like to have the jug and cup next to each other on the dining table for easy access during meals.,11.0,3,221.7465615272522,2309.0,1.0,1.0,946_3
878,947,Help me prepare for lunch by moving the jug and cup from the kitchen counter to the dining table. Place them next to each other. I prefer having the jug and cup together on the dining table for easy access during lunch.,11.0,2,194.5858645439148,2019.0,1.0,1.0,947_1
963,948,"First, move the lamp from the table in the bedroom to the counter in the kitchen. Next, move the jug to the counter in the kitchen and place it next to the lamp. I prefer to have the lamp and jug together on the kitchen counter for late-night snacks.",12.0,2,300.1500871181488,3159.0,1.0,1.0,948_2
919,949,"Put the candle holder, statue, and vase back on the table in the bedroom. The candle holder is white and tan with a rounded base, the statue is beige on a black base, and the vase is white with a rounded body and narrow neck. The vase was a gift from my best friend.",25.0,3,624.6413922309875,5974.0,1.0,1.0,949_2
966,950,"Change the positions of the vase, candle, and bowl to a different table in the living room. The vase is teal with a tall, slender neck, the candle is a gradient teal with a white top, and the bowl is brown wooden with a smooth finish. The candle was a gift from my friend.",18.0,3,319.7335696220398,3259.0,1.0,1.0,950_3
130,951,"Help me tidy up the living room table. Move the clock, book, and candle to the stand? The book is black with gold accents, the candle has a brown and blue gradient, and the clock is round and white with black numbers and a brown frame. The book is a gift from my friend.",19.0,0,382.462486743927,3557.0,1.0,1.0,951_0
1095,952,"Move the plant container from the bedroom table to the living room table. Take the stuffed toy from the kitchen cabinet and put it on a bedroom table. The plant container is a colorful assortment of electric pots by Cole Hardware, and the stuffed toy is a gray bear with a paw print on its scarf. The stuffed toy bear is a gift from my friend.",17.0,4,416.9256136417389,4310.0,1.0,1.0,952_1
