name,replanning_count_0,runtime,sim_step_count,task_percent_complete,task_state_success
object_semantics-object_semantics_history-history,41.0,657.688185095787,7155.0,0.7916666666666667,0.0
object_semantics-object_semantics_history-preference,38.333333333333336,282.3401075204213,2687.6666666666665,0.626984126984127,0.0
object_semantics-object_semantics_history-ownership,36.5,322.3162919282913,2820.0,0.2,0.0
object_semantics-object_semantics_group-preference,31.0,758.4609293937683,4889.0,0.2,0.0
object_semantics-user_pattern_history-preference,32.2,392.6943600654602,3631.8,0.6866666666666668,0.2
object_semantics-user_pattern_history-routine,25.0,165.20587730407715,1760.0,0.6666666666666666,0.0
object_semantics-user_pattern_group-preference,30.0,201.9173743724823,2065.6666666666665,0.6428571428571428,0.3333333333333333
object_semantics-user_pattern_preference-preference,29.0,196.9231357574463,2002.0,0.8,0.0
object_semantics-user_pattern_preference-routine,31.0,447.6847553253174,7576.0,0.5,0.0
object_semantics-user_pattern_ownership-preference,14.0,161.79362893104553,1488.0,0.5,0.0
user_pattern-user_pattern_preference-preference,27.285714285714285,239.99798447745187,2947.714285714286,0.4585034013605442,0.14285714285714285
user_pattern-user_pattern_preference-routine,28.666666666666668,569.1767950852712,5042.0,0.24444444444444446,0.0
user_pattern-user_pattern_routine-routine,27.0,240.20956659317017,3072.0,0.46428571428571425,0.0
object_semantics-object_semantics_total,37.625,445.68627575039864,4112.75,0.5080357142857143,0.0
object_semantics-user_pattern_total,29.166666666666668,295.06927673021954,3098.5,0.6523809523809524,0.16666666666666666
user_pattern-user_pattern_total,27.583333333333332,322.32795081535977,3492.0,0.4059523809523809,0.08333333333333333
total_results,31.36111111111111,334.8956005308363,3425.222222222222,0.5130291005291006,0.08333333333333333
