name,replanning_count_0,runtime,sim_step_count,task_percent_complete,task_state_success
object_semantics-object_semantics_history-history,13.0,500.4799613952637,8473.5,0.25,0.0
object_semantics-object_semantics_history-preference,31.666666666666668,229.69502711296082,3513.6666666666665,0.5912698412698413,0.0
object_semantics-object_semantics_history-ownership,34.5,295.80704617500305,5776.0,0.5,0.5
object_semantics-object_semantics_group-preference,16.0,1176.559548139572,9999.0,0.0,0.0
object_semantics-user_pattern_history-preference,25.6,354.196625328064,4791.0,0.26,0.0
object_semantics-user_pattern_history-routine,14.0,54.35540461540222,1031.0,0.0,0.0
object_semantics-user_pattern_group-preference,39.0,199.48811237017313,3501.6666666666665,0.38888888888888884,0.3333333333333333
object_semantics-user_pattern_preference-preference,18.0,93.38130331039427,1171.0,0.4,0.0
object_semantics-user_pattern_preference-routine,23.0,159.0355200767517,2886.0,0.375,0.0
object_semantics-user_pattern_ownership-preference,8.0,40.67740368843079,348.0,0.0,0.0
user_pattern-user_pattern_preference-preference,24.857142857142858,182.5561479159764,3797.285714285714,0.37755102040816324,0.14285714285714285
user_pattern-user_pattern_preference-routine,23.0,515.1415945688883,5767.333333333333,0.13333333333333333,0.0
user_pattern-user_pattern_routine-routine,28.0,210.12029790878296,4292.5,0.29761904761904756,0.0
object_semantics-object_semantics_total,25.75,432.2773305773735,6129.875,0.40922619047619047,0.125
object_semantics-user_pattern_total,25.666666666666668,226.40809128681818,3324.6666666666665,0.2701388888888889,0.08333333333333333
user_pattern-user_pattern_total,24.916666666666668,270.2965345780055,4372.333333333333,0.30317460317460315,0.08333333333333333
total_results,25.86111111111111,284.1885873013073,4360.555555555556,0.3103505291005291,0.08333333333333333
