name,replanning_count_0,runtime,sim_step_count,task_percent_complete,task_state_success
object_semantics-object_semantics_history-history,17.5,673.5001237392426,7782.0,0.125,0.0
object_semantics-object_semantics_history-preference,26.666666666666668,192.45977091789246,2419.6666666666665,0.6547619047619048,0.0
object_semantics-object_semantics_history-ownership,21.5,218.93030214309692,2350.5,0.5,0.0
object_semantics-object_semantics_group-preference,13.0,1823.9355251789093,10000.0,0.0,0.0
object_semantics-user_pattern_history-preference,29.6,483.99405965805056,3990.6,0.44666666666666666,0.2
object_semantics-user_pattern_history-routine,22.0,83.12806797027588,952.0,0.3333333333333333,0.0
object_semantics-user_pattern_group-preference,30.666666666666668,263.30973474184674,4778.0,0.43333333333333335,0.0
object_semantics-user_pattern_preference-preference,39.0,242.07294726371765,2792.0,0.8,0.0
object_semantics-user_pattern_preference-routine,26.0,255.60667181015012,3903.0,0.125,0.0
object_semantics-user_pattern_ownership-preference,24.0,173.22096991539,1519.0,0.1666666666666666,0.0
user_pattern-user_pattern_preference-preference,25.714285714285715,203.80051956857955,3223.5714285714284,0.2755102040816326,0.14285714285714285
user_pattern-user_pattern_preference-routine,25.666666666666668,611.7635912895203,5273.333333333333,0.26666666666666666,0.0
user_pattern-user_pattern_routine-routine,28.0,248.48452031612396,3673.0,0.38095238095238093,0.0
object_semantics-object_semantics_total,21.375,523.2719612121582,4690.5,0.4017857142857143,0.0
object_semantics-user_pattern_total,29.25,330.3273466229439,3621.0833333333335,0.4131944444444445,0.08333333333333333
user_pattern-user_pattern_total,26.083333333333332,313.23862095673877,3810.9166666666665,0.2908730158730159,0.08333333333333333
total_results,26.88888888888889,367.02751672267914,4148.555555555556,0.3374669312169313,0.05555555555555555
