name,replanning_count_0,runtime,sim_step_count,task_percent_complete,task_state_success
object_semantics-object_semantics_history-history,33.5,413.1357777118683,5461.0,1.0,1.0
object_semantics-object_semantics_history-preference,28.0,154.4406028588613,1971.3333333333333,1.0,1.0
object_semantics-object_semantics_history-ownership,21.0,149.50968825817108,2018.5,1.0,1.0
object_semantics-object_semantics_group-preference,25.0,592.1536355018616,4193.0,1.0,1.0
object_semantics-user_pattern_history-preference,26.0,390.1376612186432,4775.6,0.9666666666666666,0.8
object_semantics-user_pattern_history-routine,23.0,119.84369850158691,1901.0,1.0,1.0
object_semantics-user_pattern_group-preference,31.666666666666668,204.72792188326517,3962.6666666666665,0.5301587301587302,0.0
object_semantics-user_pattern_preference-preference,27.0,262.0496258735657,4648.0,0.4,0.0
object_semantics-user_pattern_preference-routine,24.0,203.9600415229797,3114.0,1.0,1.0
object_semantics-user_pattern_ownership-preference,18.0,187.94182133674624,2322.0,1.0,1.0
user_pattern-user_pattern_preference-preference,22.428571428571427,166.8121494906289,2996.714285714286,0.7999999999999999,0.7142857142857143
user_pattern-user_pattern_preference-routine,23.666666666666668,583.4660188357035,5901.0,0.9444444444444445,0.6666666666666666
user_pattern-user_pattern_routine-routine,24.0,180.6077015399933,3032.5,0.7142857142857142,0.5
object_semantics-object_semantics_total,27.25,272.5957970023155,3133.25,1.0,1.0
object_semantics-user_pattern_total,26.416666666666668,278.2222715814908,3979.25,0.8186507936507935,0.5833333333333334
user_pattern-user_pattern_total,23.0,273.27487550179166,3728.75,0.8218253968253969,0.6666666666666666
total_results,25.833333333333332,265.7612389061186,3619.4444444444443,0.8328042328042327,0.6388888888888888
