name,replanning_count_0,runtime,sim_step_count,task_percent_complete,task_state_success
object_semantics-object_semantics_history-history,41.0,696.4351390600204,8389.0,0.75,0.5
object_semantics-object_semantics_history-preference,35.333333333333336,347.4873719215393,4045.0,0.8214285714285715,0.3333333333333333
object_semantics-object_semantics_history-ownership,28.5,300.9256340265274,2542.5,0.7,0.5
object_semantics-object_semantics_group-preference,34.0,827.6682052612305,4815.0,1.0,1.0
object_semantics-user_pattern_history-preference,33.4,552.7537312984466,4660.2,0.7866666666666667,0.4
object_semantics-user_pattern_history-routine,25.0,146.1558039188385,1729.0,1.0,1.0
object_semantics-user_pattern_group-preference,33.0,227.3486659526825,2430.3333333333335,0.7380952380952381,0.3333333333333333
object_semantics-user_pattern_preference-preference,37.0,393.6405825614929,3546.0,0.6,0.0
object_semantics-user_pattern_preference-routine,41.0,338.4568009376526,3558.0,0.75,0.0
object_semantics-user_pattern_ownership-preference,25.0,278.090451002121,2860.0,1.0,1.0
user_pattern-user_pattern_preference-preference,23.857142857142858,237.82382236208235,3163.0,0.5591836734693877,0.2857142857142857
user_pattern-user_pattern_preference-routine,25.0,751.9868017832438,6323.333333333333,0.41111111111111115,0.0
user_pattern-user_pattern_routine-routine,34.0,363.9364312887192,3735.5,0.6309523809523809,0.0
object_semantics-object_semantics_total,34.875,483.106483399868,4851.625,0.7955357142857143,0.5
object_semantics-user_pattern_total,32.833333333333336,383.5131910641988,3523.75,0.7914682539682539,0.4166666666666667
user_pattern-user_pattern_total,25.833333333333332,387.38333537181217,4048.5,0.5341269841269841,0.16666666666666666
total_results,31.25,405.2697764303949,4027.0555555555557,0.6890211640211639,0.3611111111111111
