name,replanning_count_0,runtime,sim_step_count,task_percent_complete,task_state_success
object_semantics-object_semantics_history-history,33.5,915.7318416833878,8431.5,0.75,0.5
object_semantics-object_semantics_history-preference,31.666666666666668,350.1756735642751,2887.0,0.7738095238095237,0.3333333333333333
object_semantics-object_semantics_history-ownership,23.5,356.6548670530319,2465.0,0.5,0.5
object_semantics-object_semantics_group-preference,25.0,914.6596767902374,4175.0,1.0,1.0
object_semantics-user_pattern_history-preference,26.6,698.921853017807,5125.6,0.6,0.2
object_semantics-user_pattern_history-routine,23.0,253.5466570854187,1695.0,1.0,1.0
object_semantics-user_pattern_group-preference,25.0,327.29337247212726,3401.3333333333335,0.38730158730158726,0.0
object_semantics-user_pattern_preference-preference,29.0,479.5595123767853,4208.0,0.2,0.0
object_semantics-user_pattern_preference-routine,27.0,350.730171918869,3539.0,1.0,1.0
object_semantics-user_pattern_ownership-preference,23.0,439.8544251918793,3276.0,0.0,0.0
user_pattern-user_pattern_preference-preference,24.285714285714285,333.30625019754683,3683.1428571428573,0.7999999999999999,0.7142857142857143
user_pattern-user_pattern_preference-routine,20.0,657.1565419038137,5678.333333333333,0.5444444444444444,0.0
user_pattern-user_pattern_routine-routine,30.5,353.9341969490051,3603.0,0.7142857142857142,0.5
object_semantics-object_semantics_total,29.25,563.7450143694878,4328.625,0.7276785714285714,0.5
object_semantics-user_pattern_total,25.833333333333332,500.01501242319745,4045.8333333333335,0.5301587301587302,0.25
user_pattern-user_pattern_total,24.25,417.70681424935657,4168.583333333333,0.7218253968253968,0.5
total_results,26.444444444444443,472.3692450986968,4082.1111111111113,0.64755291005291,0.3888888888888889
