name,replanning_count_0,runtime,sim_step_count,task_percent_complete,task_state_success
object_semantics-object_semantics_history-history,24.0,551.8658645153046,9013.0,0.375,0.0
object_semantics-object_semantics_history-preference,33.666666666666664,216.5711739063263,3842.6666666666665,0.8412698412698413,0.3333333333333333
object_semantics-object_semantics_history-ownership,22.5,189.52114284038544,2795.0,0.4,0.0
object_semantics-object_semantics_group-preference,13.0,1239.137310504913,9995.0,0.0,0.0
object_semantics-user_pattern_history-preference,25.4,375.44072365760803,5119.4,0.1733333333333333,0.0
object_semantics-user_pattern_history-routine,40.0,141.70458817481995,3170.0,0.6666666666666666,0.0
object_semantics-user_pattern_group-preference,33.0,194.10316061973572,4281.666666666667,0.6761904761904761,0.3333333333333333
object_semantics-user_pattern_preference-preference,29.0,154.79715299606323,2592.0,0.8,0.0
object_semantics-user_pattern_preference-routine,22.0,179.2099449634552,3417.0,0.375,0.0
object_semantics-user_pattern_ownership-preference,27.0,221.2287037372589,3345.0,0.5,0.0
user_pattern-user_pattern_preference-preference,22.285714285714285,145.01550160135542,2708.5714285714284,0.10612244897959182,0.0
user_pattern-user_pattern_preference-routine,14.0,822.5241405169169,9243.333333333334,0.05555555555555553,0.0
user_pattern-user_pattern_routine-routine,20.0,159.0109555721283,3336.5,0.21428571428571425,0.0
object_semantics-object_semantics_total,25.875,421.453105866909,5642.375,0.5092261904761904,0.125
object_semantics-user_pattern_total,28.666666666666668,263.0377908349037,4247.166666666667,0.4364087301587301,0.08333333333333333
user_pattern-user_pattern_total,19.833333333333332,316.7252369920413,4446.916666666667,0.11150793650793649,0.0
total_results,25.47222222222222,312.92530369758606,4700.361111111111,0.3439484126984127,0.08333333333333333
