name,replanning_count_0,runtime,sim_step_count,task_percent_complete,task_state_success
object_semantics-object_semantics_history-history,35.0,453.54736709594727,5415.5,1.0,1.0
object_semantics-object_semantics_history-preference,29.0,149.42630473772684,1720.3333333333333,0.8333333333333334,0.6666666666666666
object_semantics-object_semantics_history-ownership,24.5,163.2685329914093,1743.0,0.7,0.5
object_semantics-object_semantics_group-preference,35.0,1001.8562777042388,7203.0,1.0,1.0
object_semantics-user_pattern_history-preference,30.4,444.228563785553,5142.6,0.76,0.4
object_semantics-user_pattern_history-routine,28.0,111.7371129989624,1616.0,0.6666666666666666,0.0
object_semantics-user_pattern_group-preference,35.0,197.30501914024353,3282.6666666666665,0.8492063492063493,0.3333333333333333
object_semantics-user_pattern_preference-preference,23.0,129.26433873176575,1770.0,1.0,1.0
object_semantics-user_pattern_preference-routine,30.0,205.896520614624,3034.0,1.0,1.0
object_semantics-user_pattern_ownership-preference,20.0,192.4181308746338,2360.0,1.0,1.0
user_pattern-user_pattern_preference-preference,22.714285714285715,169.23323243004936,2708.8571428571427,0.8306122448979592,0.5714285714285714
user_pattern-user_pattern_preference-routine,28.0,564.0939293702444,5684.333333333333,0.9444444444444445,0.6666666666666666
user_pattern-user_pattern_routine-routine,31.0,195.20821261405945,2940.0,1.0,1.0
object_semantics-object_semantics_total,30.125,335.47087401151657,3335.125,0.8625,0.75
object_semantics-user_pattern_total,29.833333333333332,287.6978316307068,3695.0833333333335,0.8345238095238096,0.5
user_pattern-user_pattern_total,25.416666666666668,272.27757002909976,3491.25,0.8873015873015873,0.6666666666666666
total_results,28.86111111111111,283.4996441668934,3480.722222222222,0.8674603174603175,0.6388888888888888
