name,replanning_count_0,runtime,sim_step_count,task_percent_complete,task_state_success
object_semantics-object_semantics_history-history,35.5,470.99915862083435,4865.5,0.9166666666666667,0.5
object_semantics-object_semantics_history-preference,28.666666666666668,227.61567091941833,2113.3333333333335,0.9047619047619048,0.6666666666666666
object_semantics-object_semantics_history-ownership,22.0,220.0548734664917,2217.0,0.8,0.5
object_semantics-object_semantics_group-preference,20.0,616.7395935058594,4406.0,0.4,0.0
object_semantics-user_pattern_history-preference,27.8,353.30461077690126,3520.4,0.7866666666666667,0.4
object_semantics-user_pattern_history-routine,26.0,157.18187189102173,2101.0,1.0,1.0
object_semantics-user_pattern_group-preference,26.0,177.8354910214742,1930.0,0.33174603174603173,0.0
object_semantics-user_pattern_preference-preference,23.0,170.15829730033877,1968.0,0.6,0.0
object_semantics-user_pattern_preference-routine,32.0,382.2838351726532,6137.0,0.625,0.0
object_semantics-user_pattern_ownership-preference,17.0,138.66089844703674,1234.0,0.5,0.0
user_pattern-user_pattern_preference-preference,24.0,225.0213634627206,3459.285714285714,0.5285714285714286,0.14285714285714285
user_pattern-user_pattern_preference-routine,24.0,419.7605646451314,4124.0,0.5777777777777777,0.3333333333333333
user_pattern-user_pattern_routine-routine,34.0,322.9725670814514,4319.0,0.46428571428571425,0.0
object_semantics-object_semantics_total,27.625,335.2118338048458,3113.875,0.8184523809523809,0.5
object_semantics-user_pattern_total,26.25,262.3595358133316,2902.6666666666665,0.6377976190476191,0.25
user_pattern-user_pattern_total,25.666666666666668,290.0313643614451,3768.75,0.5301587301587302,0.16666666666666666
total_results,27.11111111111111,293.21378036340076,3374.5,0.6407738095238095,0.2777777777777778
