name,replanning_count_0,runtime,sim_step_count,task_percent_complete,task_state_success
object_semantics-object_semantics_history-history,37.0,795.6582163572311,7929.0,0.8333333333333333,0.5
object_semantics-object_semantics_history-preference,36.0,278.5932253599167,2914.5,0.25,0.0
object_semantics-object_semantics_history-ownership,22.5,201.20880317687988,2677.0,0.2,0.0
object_semantics-object_semantics_group-preference,31.0,814.2889323234558,4997.0,1.0,1.0
object_semantics-user_pattern_history-preference,27.8,530.4251808166504,5648.2,0.4666666666666667,0.0
object_semantics-user_pattern_history-routine,23.0,87.98996138572693,1113.0,0.0,0.0
object_semantics-user_pattern_group-preference,22.666666666666668,259.77630766232807,3051.0,0.5761904761904763,0.0
object_semantics-user_pattern_preference-preference,26.0,195.9229860305786,1096.0,0.4,0.0
object_semantics-user_pattern_preference-routine,19.0,255.28779125213623,2940.0,0.125,0.0
object_semantics-user_pattern_ownership-preference,9.0,68.29299879074097,743.0,0.0,0.0
user_pattern-user_pattern_preference-preference,21.857142857142858,187.62387084960938,2516.0,0.10612244897959185,0.0
user_pattern-user_pattern_preference-routine,18.0,326.7922911643982,2500.3333333333335,0.1111111111111111,0.0
user_pattern-user_pattern_routine-routine,23.5,360.66533839702606,3768.0,0.45238095238095233,0.0
object_semantics-object_semantics_total,31.714285714285715,480.74420315878734,4576.857142857143,0.5095238095238095,0.2857142857142857
object_semantics-user_pattern_total,23.666666666666668,336.5790470441182,3607.1666666666665,0.3822420634920635,0.0
user_pattern-user_pattern_total,21.166666666666668,251.2562205195427,2720.75,0.16507936507936508,0.0
total_results,25.285714285714285,333.6664889267513,3464.7428571428572,0.32914965986394557,0.05714285714285714
