name,replanning_count_0,runtime,sim_step_count,task_percent_complete,task_state_success
object_semantics-object_semantics_history-history,29.0,735.733987569809,9203.5,0.5,0.0
object_semantics-object_semantics_history-preference,25.0,195.359397093455,2471.0,0.7222222222222222,0.3333333333333333
object_semantics-object_semantics_history-ownership,32.0,215.06429183483124,1962.0,0.7,0.5
object_semantics-object_semantics_group-preference,27.0,1120.0588459968567,5864.0,0.4,0.0
object_semantics-user_pattern_history-preference,24.0,487.6415214538574,5200.6,0.36666666666666664,0.2
object_semantics-user_pattern_history-routine,20.0,84.49809002876282,1055.0,0.3333333333333333,0.0
object_semantics-user_pattern_group-preference,20.333333333333332,227.04601335525513,4477.0,0.12222222222222219,0.0
object_semantics-user_pattern_preference-preference,31.0,337.1847722530365,4894.0,0.4,0.0
object_semantics-user_pattern_preference-routine,26.0,212.18593215942383,3028.0,0.5,0.0
object_semantics-user_pattern_ownership-preference,18.0,203.4879479408264,2112.0,0.0,0.0
user_pattern-user_pattern_preference-preference,20.714285714285715,216.04457422665186,3430.4285714285716,0.2714285714285714,0.0
user_pattern-user_pattern_preference-routine,21.333333333333332,432.55170702934265,3947.6666666666665,0.18888888888888888,0.0
user_pattern-user_pattern_routine-routine,27.5,221.89583802223206,3085.5,0.38095238095238093,0.0
object_semantics-object_semantics_total,28.0,450.96669951081276,4451.0,0.6208333333333333,0.25
object_semantics-user_pattern_total,23.0,329.72519914309186,4210.25,0.2861111111111111,0.08333333333333333
user_pattern-user_pattern_total,22.0,271.14656805992126,3502.25,0.26904761904761904,0.0
total_results,23.88888888888889,347.11344020234213,4401.972222222223,0.3404761904761905,0.08333333333333333
