id,caption,source,category,cluster
ec09eff22b5cba63c206b16a960ab411411d2488,A clear glass bottle with a round stopper.,hssd_hab,bottle,0
8358e371f092d654f97dd20b5d41af5eb30d45fd,A transparent bottle with a metal cap and handle.,hssd_hab,bottle,0
867cf3a6f88aa00b97aee772c2349bff732fbac5,A black and white bottle with a leaf pattern.,hssd_hab,bottle,0
c1bd4ed24b1eab295513bd16896686129dff4f1a,A clear bottle with a red cap and label design.,hssd_hab,bottle,0
6361984802efa59ed8b1b2bafc2ca9aa91d4fe8e,"A clear, round glass bottle with a wide base and narrow neck.",hssd_hab,bottle,0
49e444157676c90fb1cfa5696f50dc1f82c9f052,A beige bottle with a red cap and a detailed label.,hssd_hab,bottle,0
2f3cdc387d8c8e6e4ec9ce174e5f3dbe090933dd,A beige bottle with a dark green cap and a buffalo label.,hssd_hab,bottle,0
a63cb49060e3a034ebc86fea841e5e1521a85629,A cream-colored bottle with a brown cap and label.,hssd_hab,bottle,0
5de840e0dbacebbce6b2686706e4e5acc55c8e78,A brown bottle with a white label.,hssd_hab,bottle,0
d5a5480ce6fc74aa5cb74f6b16c2dea8cb90544e,A clear bottle with a black cap and printed text.,hssd_hab,bottle,0
1eb36fba48eb1f378fcbebaf74f30e3dcc5021de,A black bottle with a gold label and a ribbon design.,hssd_hab,bottle,0
9074d79340ff79a56ec2e1cdcc3aec203ace5e87,A bottle with a floral pattern and a black cap.,hssd_hab,bottle,0
021a0ba1300490e2e288221a21f4387ce626d1de,A transparent bottle with a dark blue cap and beige label.,hssd_hab,bottle,0
2f92d709c9e94753a896c065cb62ed33765837c0,A clear bottle with a black cap and a labeled design.,hssd_hab,bottle,0
9bffa4820132a4933b3296739b9f1437857ddb7e,A dark bottle with a distinct label.,hssd_hab,bottle,0
xxxxe3f9a974xfd88x433bx92c8x5f4d72d43be3,A transparent bottle with a swing top.,hssd_hab,bottle,0
22c78acc789ce802af372af9dca938a1c08c5f16,A black bottle with a gold label and red accent.,hssd_hab,bottle,0
d60ba70ec8b1b5faedcf3998713fb94ebb9c4bb2,A black bottle with a white label.,hssd_hab,bottle,0
21527bf23974c98dc7bc88b44ba6b54ed32e676c,A white bottle with a brown dot pattern and a black lid.,hssd_hab,bottle,0
e1b703e78962df6a81b81acab566c6a202b17197,A bottle with a gold foil top and label.,hssd_hab,bottle,0
ce33c1228cfca3da78e22645019258d7a92af3a9,A clear bottle with a white label and a silver cap.,hssd_hab,bottle,0
8c4b0396525dfedeaabd64fafcde66ae1e87863a,A clear bottle with a green cap and label.,hssd_hab,bottle,0
4b4f5834c4163706bcc3029862f8f0ec73d92684,A cream-colored bottle with a black label and cap.,hssd_hab,bottle,0
c82a08279ca1a84d891e9bc0928fd461c1e41cd2,"A transparent, uniquely-shaped bottle.",hssd_hab,bottle,0
d946cb7fdeeb63eefb33fa3ee04b98d3a44bc966,A brown bottle cap.,hssd_hab,bottle,0
4e58355312c1de13eb2b1b29b4dfbf0a8dbabefd,A black bottle with a brown cap and a handle.,hssd_hab,bottle,0
e5dc7a8a5601d4d26ece19878d8d7b6407129c63,A black bottle with white text.,hssd_hab,bottle,0
Pet_Dophilus_powder,"A white and blue bottle, Pet Dophilus powder.",google,bottle,1
Theanine,A green bottle labeled Theanine.,google,bottle,1
QAbsorb_CoQ10,"A white and orange bottle with a blue cap, QAbsorb CoQ10.",google,bottle,1
Blackcurrant_Lutein,A purple and white Blackcurrant Lutein bottle.,google,bottle,1
Beta_Glucan,"A clear bottle with a white label, Beta_Glucan.",google,bottle,1
PhosphOmega,"A clear bottle with a white cap, PhosphOmega.",google,bottle,1
NattoMax,"A transparent, NattoMax bottle with a white label.",google,bottle,1
5_HTP,"A white bottle with a purple and green label, 5_HTP.",google,bottle,1
Folic_Acid,"A white bottle with a yellow cap, Folic Acid.",google,bottle,1
Bifidus_Balance_FOS,"A white and green bottle, Bifidus Balance FOS.",google,bottle,1
Perricone_MD_Health_Weight_Management_Supplements,"A white bottle with blue and gray text, Perricone MD Health & Weight Management Supplements.",google,bottle,1
Organic_Whey_Protein_Unflavored,A white and green bottle of Organic Whey Protein Unflavored.,google,bottle,1
CoQ10_wSSVoxVppVD,"A transparent bottle with a red and white label, CoQ10.",google,bottle,1
AllergenFree_JarroDophilus,A white and blue AllergenFree JarroDophilus bottle.,google,bottle,1
Sleep_Optimizer,"A transparent bottle with a blue label, Sleep_Optimizer.",google,bottle,1
QHPomegranate,"A clear glass bottle with a red label, QHPomegranate.",google,bottle,1
8b7632a97cc5c3adf66e7eed98b59a51ef86bf26,A white cup with a bird design.,hssd_hab,cup,1
fcae3d93545969544b5aec155f56fda69f1a2f9a,A gray cup with a handle and two white birds design.,hssd_hab,cup,1
c71222582b58b14c0dfc64f55bdb8a44b34f3959,"A gray cup with a red letter ""L.""",hssd_hab,cup,1
22899dfeb3cfe700149f4fbf87f6d443351cee67,A white cup with colorful festive designs and a red handle.,hssd_hab,cup,1
3d779b56904aafa1c8f2412e4f5e4c4460098bb0,A festive cup with a Santa Claus design and a red handle.,hssd_hab,cup,1
d4960da019b35da664905c729de7bd9fa233ff51,A green cup with a white base.,hssd_hab,cup,1
6e8ac33c3e309c177c8b63483dfcae81a2b0fe64,"A gray cup with a red letter ""I"".",hssd_hab,cup,1
6327ba4a244492ad0b3389841220c16a577e6a4d,A white cup with a black inkblot design.,hssd_hab,cup,1
9475586d9db640875150dc2a3beb7e0234d815d4,A multicolored cup with overlapping geometric patterns.,hssd_hab,cup,1
d09e802e1433f67df014386783a93db85eedef8e,"A gray cup with a red letter ""S.""",hssd_hab,cup,1
7a18a3e82b9463b934c1017fce21adcbc5d0b1da,"A gray cup with a large red letter ""N"".",hssd_hab,cup,1
bd12f6fd478618cc550689cd9a050e61b1b5abe0,A white cup with a pink floral pattern.,hssd_hab,cup,1
c707408215afcc11910353f0ccbe67eb53cb1e49,A white cup with a black abstract pattern.,hssd_hab,cup,1
3b74d1f30a48132571b6660f5735b657b2c3a886,A gray cup with a red circular design.,hssd_hab,cup,1
547c0a77b74f52c4e6c4a0a52f14f6c9c7a57b49,A gray cup with a smooth finish.,hssd_hab,cup,0
4732b4385ae973f1309ad75682fc11704818afe7,"A white cup with colorful heart patterns and ""Grandpa"" text.",hssd_hab,cup,1
e14277deea40140eef220e7c75c291dbaf39efbe,"A white cup with a floral pattern in red, pink, and purple.",hssd_hab,cup,1
6dd0f10b6eb11dd530c6f4229e7ea20d50333bf6,A green cup with a white base.,hssd_hab,cup,1
6f5798f9d8c522047a6faf5672f26e684b036e33,A red cup with white polka dots.,hssd_hab,cup,1
4c439ebcd2eec3923ab3e41dc64d71092b54a0ab,A green cup with a floral pattern.,hssd_hab,cup,1
6c988f13a1ea7360d4958bb938e7910c547e7ed4,A white and beige cup with a tree pattern.,hssd_hab,cup,1
87a34af23efddf90b6267768647fbedcbf846827,A gray cup with an animal print.,hssd_hab,cup,1
e3479ce73271171bdaa163968c50500719ed4d72,"A white cup with ""Know Your Rights"" text.",hssd_hab,cup,1
572e2f04cf9e17424557ecc4f449e6122a9cae95,A red and white cup with a Pantone design.,hssd_hab,cup,1
ed95f32cc00075ceed5bd4b593d2a06a444c0eec,A light blue and white cup with a Pantone design.,hssd_hab,cup,1
7557cdd4decb1493938bb8b18887e59b5718f658,A white cup featuring a black and pink artwork.,hssd_hab,cup,1
98c9f836f480292409eba3cc56d2d7de01624bdf,A white cup with a hexagonal pattern.,hssd_hab,cup,1
xxxx6c3b8f4ax07a5x4c9exbf89x4cce25209c87,A white cup with a silver rim.,hssd_hab,cup,1
5742501065a46cf69165e60257b42a86f5fadf8b,A light pink cup with Pantone 337 C marking.,hssd_hab,cup,1
569ddd79ca925c3e50d50b9819fbab743ad0db74,A green cup with a white car pattern.,hssd_hab,cup,1
3c3143392a1d13fa86796d07b8518a0963902c86,A reflective silver cup with a glossy finish.,hssd_hab,cup,0
dcdb1e2d961f1a6648e45d5058fe93c2ef2f7791,A blue and gray cup with a Pantone 630 C label.,hssd_hab,cup,1
c89ad9df5af596d19da02bea32f469ecb872e57d,A white and pink cup with a Pantone label.,hssd_hab,cup,1
1bc20d448937a6c0c1936b28486a110f31093947,A light green cup with a white interior and base.,hssd_hab,cup,1
2b895802055054fdce43bb4936cc4ff1ee7597a3,A black and white cup with a Pantone design.,hssd_hab,cup,1
b5061af764b94e966a35149eb419152f4a3687d1,A white cup with a gold rim.,hssd_hab,cup,1
9c02c6496d1e3c5cc62b01afc47de32ac9818ed0,A white cup with a purple flower design.,hssd_hab,cup,1
1a6b779033e0f9f9936970d79af01ed7653e4321,A white cup with a green leaf pattern.,hssd_hab,cup,1
53e7d7c13d3c89976da853ba6a606dfd3fc3f7b4,A silver cup with a geometric black and white pattern.,hssd_hab,cup,0
30414cd6c4eeac82960afb6163bace31f880343e,"A gray cup with a red letter ""E.""",hssd_hab,cup,1
dc053d1212b867ffee642809e9e4ce612c7fdeb4,A white cup with a sleeping face design.,hssd_hab,cup,1
b5d5f688a226b182e406b595b49fe7a53842621c,A white cup with a blue leaf pattern.,hssd_hab,cup,1
5d1f718ed51e63cdf4d69617f849e10ad36f9b97,A dark blue cup with a dandelion design.,hssd_hab,cup,1
6a833596dd725a0044674dbaada29368ebe7a53e,A yellow cup with a white interior.,hssd_hab,cup,1
Cup_2,A black cup with a smooth surface.,ai2thorhab,cup,0
Cup_17,"A white, cone-shaped cup.",ai2thorhab,cup,1
Mug_2,A beige cup with a smooth finish.,ai2thorhab,cup,0
Cup_15,An orange cup with a faceted design.,ai2thorhab,cup,0
